Date,N_valid,Mean,Median,Std,Min,Max
1992-12-25,236,0.18965314341025996,0.1508781056961367,0.2977847867232608,-0.6469640279480455,1.3268328366360316
1993-01-01,235,0.1651392561841849,0.12925231040183482,0.2941787557802934,-0.6838045372242869,1.2238670122237147
1993-01-08,236,0.15986452347725666,0.1450012494030497,0.2872782627612799,-0.6550675543148727,1.0994127147078712
1993-01-15,233,0.14275153482522152,0.14431778586033062,0.2694697281958072,-0.661021099618923,1.1923080955614136
1993-01-22,239,0.14751286243588696,0.15004525303312644,0.2697084074431381,-0.6785755190754607,1.1509622875029555
1993-01-29,233,0.16885737479145158,0.14996107485647792,0.27337273825878766,-0.6404541169472934,1.2588430166162423
1993-02-05,237,0.14126650491521942,0.12309105065477421,0.26520361450848645,-0.6945430376743709,1.1537158511657304
1993-02-12,235,0.1551237549810937,0.15005165654551766,0.2697929453677033,-0.6306657656489778,1.1554381843311883
1993-02-19,235,0.16374714356684245,0.15015556846004952,0.28870462758859244,-0.6268695806268414,1.4003121382835269
1993-02-26,234,0.16894779826658265,0.15675810486039787,0.293097393665181,-0.6462130619673179,1.3676514434808942
1993-03-05,232,0.2282348477403819,0.21017797937159877,0.30597478019786406,-0.61877784497525,1.599801493557906
1993-03-12,229,0.20246222130307304,0.1969112696304569,0.29071745840806557,-0.6405143870433917,1.4264463476984153
1993-03-19,228,0.13421484596625005,0.12846335574658319,0.28669358317852695,-0.7122340696855625,1.1588485091450105
1993-03-26,225,0.1767223129364618,0.1699300586752035,0.2980718269724077,-0.7145561276028201,1.3603574117132267
1993-04-02,220,0.2133780486341676,0.20125068284772363,0.31006326921005234,-0.7043693252920313,1.4285685592531832
1993-04-09,215,0.23705831491823523,0.20591722358608844,0.3279277752243598,-0.6923119596306075,1.603769631409817
1993-04-16,215,0.19585920514879712,0.16571013263008583,0.31151058576559293,-0.7208873154720833,1.4513231325134184
1993-04-23,218,0.2248126073690044,0.18972853211162988,0.32440430456898517,-0.7088646206080792,1.7904736201816607
1993-04-30,218,0.19060807757112386,0.161918787269681,0.30700032802877614,-0.7069345593591736,1.4601723329747807
1993-05-07,220,0.16575499065309465,0.16370697386742405,0.3127618133697057,-0.7154677914655965,1.3145118008306453
1993-05-14,217,0.20419351130181929,0.2060626507474037,0.32155699328123866,-0.7265174349310358,1.4696748639677262
1993-05-21,216,0.17133637319157788,0.17216121215203906,0.2988421620599364,-0.7378472504546916,1.296603850224939
1993-05-28,224,0.17228737045579873,0.157711230967565,0.3010338500188314,-0.769386931136993,1.3949522003193624
1993-06-04,221,0.1932374650707441,0.17622052746429095,0.30343654944965476,-0.7458713853347024,1.564510670741785
1993-06-11,221,0.20842578679148957,0.1756217241294169,0.3036164769738009,-0.742861038106944,1.5199945807773267
1993-06-18,225,0.27110231173297344,0.20559880177880485,0.34569657122733505,-0.6808033453531575,1.8166331922172083
1993-06-25,238,0.2981304632972835,0.2404109035209573,0.3731926794815911,-0.6623091538147807,2.013213752084828
1993-07-02,241,0.2543456214530233,0.21103969910479803,0.3603936243095542,-0.6923135556132437,1.8560294493697937
1993-07-09,235,0.22984711491707346,0.1754432297635975,0.3458644899289957,-0.7099068287135399,1.549651916189192
1993-07-16,246,0.23783494673936634,0.1725424966511817,0.36886079095388113,-0.7215331995576167,1.9836195218687975
1993-07-23,247,0.2538566708088574,0.1984231841044466,0.3567274191705756,-0.7100328195847643,1.5890563339117874
1993-07-30,240,0.2303741760291659,0.18482692595942485,0.3505072217841683,-0.7044051925266318,1.728491534399569
1993-08-06,236,0.2527879485461768,0.21359129854762715,0.3663446989408575,-0.6717708775204585,1.777794486787125
1993-08-13,240,0.23898078478629306,0.196898266968196,0.3561003741805036,-0.6879679386754057,1.5874146063559271
1993-08-20,244,0.25186179360478556,0.18552268366823788,0.38273460328391523,-0.6932438744112224,1.8642884593229931
1993-08-27,241,0.2618018850663921,0.2110626069092103,0.3940963745517257,-0.701558567015724,1.950527258599374
1993-09-03,235,0.26850050407625736,0.20547417710778637,0.4055763947115369,-0.6941247368916679,2.34795232551879
1993-09-10,234,0.25646141769101505,0.19247809258614046,0.408387366384166,-0.7435403885264495,2.2874954236605416
1993-09-17,238,0.27916269726307813,0.20847374124386564,0.4281877427265032,-0.7495087028492449,2.6936571642123144
1993-09-24,240,0.3360472525129608,0.23941309728045723,0.513094464628693,-0.6854326230441419,4.259732034886327
1993-10-01,241,0.3551625979205547,0.2588879833236184,0.4936153922623774,-0.6750866533624547,3.893744218471592
1993-10-08,235,0.3628047236586331,0.2939347666882841,0.49540450818463777,-0.6564652496689587,3.777773355480968
1993-10-15,239,0.3385484344384325,0.25564593961336235,0.4964542497409911,-0.6729328143782005,3.550560993288916
1993-10-22,246,0.32963162694826653,0.25096655471683116,0.4961506827707037,-0.6864148575095849,3.803276494764307
1993-10-29,250,0.33699025062091503,0.27113465322636343,0.4829512704382512,-0.691180941161374,3.6436159734566145
1993-11-05,257,0.30740065697018915,0.23425245227013725,0.44142119892643095,-0.6791832616198737,3.2424238775720458
1993-11-12,256,0.322046943984501,0.24781287219548298,0.4539496814997085,-0.687000744194582,2.8215833200476848
1993-11-19,257,0.287504887690957,0.22859286777936005,0.4321391496078892,-0.6682951546226482,2.849334072462448
1993-11-26,257,0.2799220494797389,0.19744778876411662,0.4255429714362673,-0.6464546018237742,2.4768380420419978
1993-12-03,259,0.22148366513757806,0.1654024426800791,0.37461085693520707,-0.6546901356527427,2.075488404966036
1993-12-10,259,0.2497586702596748,0.17910056553426612,0.4190380369228397,-0.6755509215693171,2.5032890901138827
1993-12-17,259,0.20455054451944685,0.1328298934656431,0.38805153956214783,-0.668782003157067,2.0121988502010666
1993-12-24,257,0.20262616749651605,0.1245240663200251,0.36713509733671595,-0.6666689282031892,1.9186209925882651
1993-12-31,259,0.20463961477842657,0.12345237753271099,0.38337934545125835,-0.7229840332911011,1.884206875652493
1994-01-07,262,0.2063372464079613,0.13686584508506494,0.36705568373811537,-0.6682553359145815,1.977568448324949
1994-01-14,262,0.18040405438495855,0.12323756228483596,0.3437548295932733,-0.6238243285666523,1.8187296067689713
